"Number","Word","Transliteration","Grammar","Russian","Example"
301,阿姨,āyí,сущ.,тетя,"~,附近有地铁站吗?"
302,啊,a,воскл.,"восклицательная или вопросительная частица,
можно ставить и в предложении,
выражающем согласие","~,这儿的环境多么好啊!
你们家住在哪儿~?
~,好的,我现在就去。"
303,矮,ǎi,прил.,низкий,弟弟的个子比我~。
304,爱好,àihào,сущ.,хобби,我最大的~就是打篮球。
"",,гл.,"любить, заниматься",我从小就~音乐。,
305,安静,ānjìng,прил.,тихо,"因为教室里没什么人,所以很~。"
"",,гл.,тишина,"孩子们都睡着了,家里~了下来。",
306,把,bǎ,пред.,"ставится перед словом обозначающим объект
действия, после которого стоит переходный
глагол",请~桌子上的铅笔给我。
"",,сч. сл.,при счете предметов,房间里有四~椅子。,
307,班,bān,сущ.,"класс, группа",我在三年级二~。
308,搬,bān,гл.,перемещать,请帮我把这张桌子~到楼下好吗?
309,办法,bànfǎ,сущ.,"способ, метод","你别急,我们再想想~。"
310,办公室,bàngōngshì,сущ.,"офис, кабинет","请问,校长~怎么走?"
311,半,bàn,числ.,половина,现在是三点~。
312,帮忙,bāngmáng,гл.,помогать,"因为有你~,这件事情处理得很好。"
313,包,bāo,сущ.,сумка,我的~忘在房间里了。
314,饱,bǎo,прил.,сытый,我已经吃~了。
315,北方,běifāng,сущ.,север,"冬天,~比南方冷多了。"
316,被,bèi,пред.,служит для выражения пассива,词典~王老师拿走了。
317,鼻子,bízi,сущ.,нос,"姐姐的~很高,很漂亮。"
318,比较,bǐjiào,нар.,более или менее,今天天气~冷。
319,比赛,bǐsài,сущ.,"соревнование, конкурс",今天晚上有足球~。
"",,гл.,соревноваться,我们~跑步吧。,
320,笔记本,bǐjìběn,сущ.,блокнот,"老师讲的内容,我都写在~上了。"
"",,сущ.,ноутбук,"你看,这是我新买的~。",
321,必须,bìxū,нар.,обязательно,我今天~去上班。
322,变化,biànhuà,сущ.,"перемены, изменения","十年不见,他好像没什么~。"
"",,гл.,изменяться,城市~得太快了。,
323,别人,biéren,мест.,другой (человек),"~都走了,为什么你还在这里?"
324,宾馆,bīnguǎn,сущ.,отель,"这是我们这儿最大的~,可以住 300 个客人。"
325,冰箱,bīngxiāng,сущ.,холодильник,妈妈把刚买的鱼放进了~。
326,"不但......
而且......","búdàn...
érqiě...",союз,"не только..., но и...","妹妹~喜欢唱歌,~爱跳舞。"
327,才,cái,нар.,только (слишком поздно),他 30 岁~读完大学。
"",,,нар.,только,"这件事,只有他~能做好。"
328,菜单,càidān,сущ.,меню,"服务员,请帮我拿一下~。"
329,参加,cānjiā,гл.,участвовать,这次会议有两百多人~。
330,草,cǎo,сущ.,трава,"春天来了,小~绿了。"
331,层,céng,сч. сл.,"слой, этаж","我住在三~,306。"
332,差,chà,прил.,плохо,我这次考试考得很~。
"",,,гл.,не достигает до,现在是~5 分 12 点。
333,长,cháng,прил.,длинный,姐姐的头发又黑又~。
334,超市,chāoshì,сущ.,супермаркет,这家~里的东西比较便宜。
335,衬衫,chènshān,сущ.,"рубашка, сорочка",今天我穿这件~。
336,成绩,chéngjì,сущ.,оценка (на экзамене),我们可以在网上查到考试~。
337,城市,chéngshì,сущ.,город,我已经喜欢上了这个~。
338,迟到,chídào,гл.,опоздать,"对不起,我今天又~了。"
